Category,Product,RF_Anonymity,RF_3rd_Party_Pay,RF_Bearer,RF_Pooled,RF_Instant,RF_Cross_Border,RF_High_Value,RF_24_7,RF_Cash_In,RF_Cash_Out,RF_Asset_Conv,RF_Audit_Gap,RF_Complexity,RF_Low_Reg,RF_Easy_Onboard,RF_Remote,RF_Agent,RF_Flexibility,RF_New_Tech,MF_KYC,MF_EDD,MF_SoW_SoF,MF_Usage_Limits,MF_Velocity_Ctrl,MF_Geo_Fence,MF_Cash_Cap,MF_Audit_Trail,MF_Tx_Monitor,MF_MFA,Assumptions
Emerging Tech,Cryptocurrency Wallets,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,High anonymity potential; cross-border and instant rails; on-chain audit gaps; travel-rule and on-chain analytics required
Emerging Tech,Stablecoins,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,Tokenized assets can be behave like bearer instruments; instant and cross-border; require strong SoW/SoF and travel-rule controls
Emerging Tech,Tokenized Assets,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,Tokenized assets can be behave like bearer instruments; instant and cross-border; require strong SoW/SoF and travel-rule controls
Emerging Tech,DeFi Protocols,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,"Permissionless, pseudonymous, on-chain; limited KYC feasible; high audit gaps; many mitigants may be impractical"
Emerging Tech,NFT Marketplaces,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,High-value asset conversion risk; pseudonymous wallets; on-chain provenance helps but does not eliminate risk
Emerging Tech,Virtual Prepaid Cards,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,Virtual-first prepaid; top-up and cash-out options vary by issuer; treat as high-risk unless closed-loop with strict limits
Emerging Tech,Cross-border e-wallets,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,Agent networks and cross-border rails common; cash-in/out and high velocity; strong agent and sanctions controls required
Wealth/Investment,Brokerage Accounts,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,High-value transfers and cross-border settlements; asset conversion risk; strong EDD and transaction monitoring needed
Wealth/Investment,Mutual Funds,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,Pooled investments and nominee structures possible; redemption and layering risk; require investor verification
Wealth/Investment,Collective Investment Schemes,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,Pooled investments and nominee structures possible; redemption and layering risk; require investor verification
Wealth/Investment,Private Equity Funds,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,Complex ownership and nominee investors; high value; strong EDD and SoW/SoF required
Wealth/Investment,Venture Capital Funds,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,Complex ownership and nominee investors; high value; strong EDD and SoW/SoF required
Wealth/Investment,Insurance Products,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,Investment-linked insurance can be used for layering; surrender/early redemption risk; require EDD for large policies
Wealth/Investment,Wealth Management Accounts,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,"High-value, complex structures and nominee use; strong SoW/SoF, EDD and ongoing monitoring required"
